product_name,country,wine_type,short_description,rating,reviews,price_per_bottle,quantity,actual_price,after_discount_price,saving_amount
Catalyst by Sparkman Cellars Red Blend 2022 ,United States,Red blend,Family-Made Washington Red,,,$39.99 per bottle,12 bottles - $479.88,,,
Bonded Winery No. 2 by The Bundschu Family Sonoma Valley 2022 ,United States,Cabernet Sauvignon,Iconic Sonoma Cab Sauvignon,,1 Review,$54.99 per bottle,12 bottles - $659.88,$659.88- original price,$479.88- savings price,Save $180.00
Pillastro Primitivo 2022 ,Italy,Primitivo,94-Point Italian Bestseller,,1894 Reviews,$15.99 per bottle,12 bottles - $191.88,$191.88- original price,$167.88- savings price,Save $24.00
The Black Stump Durif Shiraz 2024 ,Australia,Durif-based blend,Gold-Medal Aussie Blockbuster,,2199 Reviews,$16.99 per bottle,12 bottles - $203.88,$203.88- original price,$155.88- savings price,Save $48.00
J Opi Malbec 2024 ,Argentina,Malbec,The Magician's Signature Malbec,,1111 Reviews,$16.99 per bottle,12 bottles - $203.88,$203.88- original price,$167.88- savings price,Save $36.00
Pillastro Primitivo 2023 ,Italy,Primitivo,Popular Italian Bestseller,,1888 Reviews,$15.99 per bottle,12 bottles - $191.88,$191.88- original price,$167.88- savings price,Save $24.00
Abbesse Sauvignon Blanc 2024 ,France,Sauvignon Blanc,Fabulous French Sauvignon Blanc,,19 Reviews,$18.99 per bottle,12 bottles - $227.88,$227.88- original price,$167.88- savings price,Save $60.00
w/o Lucido 2024 ,Italy,Lucido,Organically Grown Sicilian White,,43 Reviews,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$191.88- savings price,Save $48.00
Queen Bee Viognier 2024 ,South Africa,Viognier,Elegant South African Viognier,,39 Reviews,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$167.88- savings price,Save $72.00
Lobo e Falcão 2024 ,Portugal,Castelão-based blend,Powerful Portuguese Favorite,,935 Reviews,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$167.88- savings price,Save $72.00
Saracosa 2024 ,Italy,Sangiovese-based blend,Bestselling Super Tuscan,,1085 Reviews,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$167.88- savings price,Save $72.00
